source,target
2787630,2802990
89289,117418
89289,89289
89289,1188876
89289,52057
89289,110380
89289,1280183
89289,1006651
89289,181934
89289,496175
89289,1122373
89289,1122374
89289,1122375
89289,61399
89289,1232728
89289,1723195
89289,1219050
89289,14414
89289,65605
2102583,2102583
2102583,73988
2102583,21111
73988,73988
73988,21111
73988,136403
73988,1999091
73988,1050881
73988,2954
73988,33663
73988,2301996
73988,1165240
73988,1280183
73988,1152
73988,3331792
73988,120578
73988,57738
73988,1141815
73988,1204877
73988,23626
73988,937663
73988,1931175
73988,1257876
73988,1051824
73988,1998031
73988,1116399
73988,102786
73988,18802
21111,21111
21111,1050881
21111,7571
21111,84378
21111,1420
21111,2102600
21111,2803017
21111,2803001
21111,225009
21111,6431
21111,8289
21111,214317
21111,13716
21111,117180
21111,1152
21111,3331792
21111,120578
21111,57738
21111,1141815
21111,1204877
21111,1670479
21111,1625013
21111,84384
21111,2214123
21111,2412677
21111,2412679
21111,16811
21111,3910768
21111,2823180
2803017,2803017
2803017,2803001
2803001,2803001
4193575,4193575
4193575,4193577
4193575,4193578
4193575,4193580
4193575,4193583
4193577,4193577
4193577,4193578
4193578,4193578
4193578,4193580
4193578,4193583
2954,2954
2954,33663
2954,2301996
2954,25072
2954,3910
2954,1241
33663,33663
33663,1145892
33663,1807640
33663,557911
33663,7447
33663,1748
33663,11161
33663,2301996
33663,27765
33663,1167702
33663,1167703
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,103
33663,102786
33663,3553309
33663,150882
33663,16214
33663,227811
33663,1222706
33663,1116399
33663,18802
33663,1816204
33663,1816207
33663,3342345
33663,1954181
33663,240633
33663,80757
33663,1003978
33663,65605
33663,1306642
33663,2289540
33663,2662043
33663,2266228
33663,2435679
33663,2266230
33663,56446
33663,216075
33663,568535
33663,1326321
33663,57342
33663,60342
33663,2041195
33663,2607708
33663,16620
33663,77120
33663,1647876
33663,3252749
33663,3370866
33663,28151
33663,2982422
33663,3242458
33663,2214123
33663,2412677
33663,2412679
33663,21397
33663,134
33663,3981237
33663,567335
33663,115788
33663,112219
33663,25504
33663,160733
2301996,2301996
2301996,2189100
2301996,1671675
2301996,1644623
2301996,1647876
2301996,3252749
2301996,3370866
214317,214317
214317,13716
214317,117180
13716,13716
13716,117180
13716,21278
13716,13724
13716,7447
117180,117180
117180,1428889
117180,3323316
117180,2021450
117180,3797418
117180,937663
117180,937664
117180,937665
117180,1416398
117180,46432
117180,116341
117180,21278
117180,13724
117180,7447
117180,2130
117180,16431
117180,2203
23626,23626
23626,2652100
23626,2652101
23626,937663
23626,1931175
23626,219189
23626,214725
23626,3905
23626,18686
23626,223120
23626,223121
23626,223122
23626,107375
23626,65605
23626,1304153
23626,587506
23626,543505
23626,130640
937663,937663
937663,937664
937663,937665
937663,1931175
1931175,1931175
12951,12951
12951,2998183
12951,1231277
12951,2415973
12951,2413592
12951,81439
12951,707
12951,26485
12951,54812
2998183,2998183
