node_id	pr_value
663930	0.00016945529023318985
482708	9.476794592571013e-05
1034017	5.449910366197429e-05
663559	4.9589928677864775e-05
1120567	4.598273346336782e-05
357530	4.44521265345131e-05
663605	4.288522675515857e-05
663682	3.519488874971916e-05
1108860	3.480841536996358e-05
664788	3.4709914711824753e-05
